max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
23,23,depth-count,1.5635135293932154,0.21504234092227661,92,74.97115384615385,29.85576923076923,2300.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.357725260030437) (<class '__main__.FineGrainedBucket'> : 2.184132112232705) (<class '__main__.FineGrainedBucket'> : 2.8519880645222524) (<class '__main__.FineGrainedBucket'> : 2.155486753585642) (<class '__main__.FineGrainedBucket'> : 1.3636988345981174) (<class '__main__.FineGrainedBucket'> : 1.3591715590154705) (<class '__main__.FineGrainedBucket'> : 2.526719754255483) (<class '__main__.FineGrainedBucket'> : 2.286680148424769) (<class '__main__.FineGrainedBucket'> : 2.3830911206423395) (<class '__main__.FineGrainedBucket'> : 2.0029998723812477) (<class '__main__.FineGrainedBucket'> : 1.842679931340981) (<class '__main__.FineGrainedBucket'> : 1.540013728776396) (<class '__main__.FineGrainedBucket'> : 2.558670238589768) (<class '__main__.FineGrainedBucket'> : 1.3614951488164688) (<class '__main__.FineGrainedBucket'> : 1.5526027390048522) (<class '__main__.FineGrainedBucket'> : 1.470728915199072) (<class '__main__.FineGrainedBucket'> : 2.8247875190599165) (<class '__main__.FineGrainedBucket'> : 2.693554379201566) (<class '__main__.FineGrainedBucket'> : 2.3383696775085423) (<class '__main__.FineGrainedBucket'> : 3.1043037600010255) (<class '__main__.FineGrainedBucket'> : 1.2316068480363422) (<class '__main__.FineGrainedBucket'> : 1.3171590228343277) (<class '__main__.FineGrainedBucket'> : 1.1380747716503286) 
24,24,depth-count,1.4348499688880165,0.22439200791889738,96,78.23076923076923,31.153846153846153,2400.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.22384505676276) (<class '__main__.FineGrainedBucket'> : 2.2067685881706294) (<class '__main__.FineGrainedBucket'> : 2.441232264056321) (<class '__main__.FineGrainedBucket'> : 2.7673017538380296) (<class '__main__.FineGrainedBucket'> : 1.3929213715412023) (<class '__main__.FineGrainedBucket'> : 1.1799870225711249) (<class '__main__.FineGrainedBucket'> : 1.5484524319164301) (<class '__main__.FineGrainedBucket'> : 2.2162768192126454) (<class '__main__.FineGrainedBucket'> : 2.2000177764418516) (<class '__main__.FineGrainedBucket'> : 1.892113177606784) (<class '__main__.FineGrainedBucket'> : 1.8854808121288191) (<class '__main__.FineGrainedBucket'> : 1.6932394888748534) (<class '__main__.FineGrainedBucket'> : 2.2485674585430244) (<class '__main__.FineGrainedBucket'> : 2.161286904959586) (<class '__main__.FineGrainedBucket'> : 1.368627101187153) (<class '__main__.FineGrainedBucket'> : 1.4806798686336653) (<class '__main__.FineGrainedBucket'> : 1.4338236355571239) (<class '__main__.FineGrainedBucket'> : 2.352851707663145) (<class '__main__.FineGrainedBucket'> : 3.362894525621468) (<class '__main__.FineGrainedBucket'> : 2.477508077513077) (<class '__main__.FineGrainedBucket'> : 2.4865735812183036) (<class '__main__.FineGrainedBucket'> : 1.492000449546626) (<class '__main__.FineGrainedBucket'> : 0.7844144077084573) (<class '__main__.FineGrainedBucket'> : 1.0844314198562084) 
25,25,depth-count,1.3498669975038289,0.2337416749155181,100,81.49038461538461,32.45192307692308,2500.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.2324054293779685) (<class '__main__.FineGrainedBucket'> : 2.14509672059521) (<class '__main__.FineGrainedBucket'> : 2.133303180121207) (<class '__main__.FineGrainedBucket'> : 2.147579494737779) (<class '__main__.FineGrainedBucket'> : 1.5734610291817905) (<class '__main__.FineGrainedBucket'> : 1.6437426147327268) (<class '__main__.FineGrainedBucket'> : 1.1887278165256028) (<class '__main__.FineGrainedBucket'> : 2.534965139154895) (<class '__main__.FineGrainedBucket'> : 2.368521733510211) (<class '__main__.FineGrainedBucket'> : 1.851127644958686) (<class '__main__.FineGrainedBucket'> : 1.9050654626927523) (<class '__main__.FineGrainedBucket'> : 1.7081464009388203) (<class '__main__.FineGrainedBucket'> : 1.5264658024334858) (<class '__main__.FineGrainedBucket'> : 1.7693493861451646) (<class '__main__.FineGrainedBucket'> : 1.325132604123598) (<class '__main__.FineGrainedBucket'> : 1.322644256482035) (<class '__main__.FineGrainedBucket'> : 1.286185186051201) (<class '__main__.FineGrainedBucket'> : 2.1450511847194265) (<class '__main__.FineGrainedBucket'> : 2.696165985771675) (<class '__main__.FineGrainedBucket'> : 2.423420925220717) (<class '__main__.FineGrainedBucket'> : 2.15730175452519) (<class '__main__.FineGrainedBucket'> : 2.030790970868143) (<class '__main__.FineGrainedBucket'> : 1.3025789759028508) (<class '__main__.FineGrainedBucket'> : 0.8197820598142325) (<class '__main__.FineGrainedBucket'> : 1.0289409515635557) 
26,26,depth-count,1.3453342712466936,0.2430913419121388,104,84.75,33.75,2600.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.241519996079107) (<class '__main__.FineGrainedBucket'> : 2.0886914646811854) (<class '__main__.FineGrainedBucket'> : 3.275844913171367) (<class '__main__.FineGrainedBucket'> : 2.537244667538591) (<class '__main__.FineGrainedBucket'> : 1.6870787598046624) (<class '__main__.FineGrainedBucket'> : 1.358309857831071) (<class '__main__.FineGrainedBucket'> : 0.9444859847064674) (<class '__main__.FineGrainedBucket'> : 2.3261403949954773) (<class '__main__.FineGrainedBucket'> : 2.2941581637045125) (<class '__main__.FineGrainedBucket'> : 1.9271275341498366) (<class '__main__.FineGrainedBucket'> : 1.927514577212892) (<class '__main__.FineGrainedBucket'> : 1.6982930963313194) (<class '__main__.FineGrainedBucket'> : 1.6912525150701576) (<class '__main__.FineGrainedBucket'> : 2.221049466356301) (<class '__main__.FineGrainedBucket'> : 2.2704390249305693) (<class '__main__.FineGrainedBucket'> : 1.3308348070625142) (<class '__main__.FineGrainedBucket'> : 1.0042449022844981) (<class '__main__.FineGrainedBucket'> : 1.3477205956196974) (<class '__main__.FineGrainedBucket'> : 2.558127652916405) (<class '__main__.FineGrainedBucket'> : 2.692029601736091) (<class '__main__.FineGrainedBucket'> : 2.6628084553669242) (<class '__main__.FineGrainedBucket'> : 2.7596721048920783) (<class '__main__.FineGrainedBucket'> : 1.6673641703347284) (<class '__main__.FineGrainedBucket'> : 1.1671042509064198) (<class '__main__.FineGrainedBucket'> : 0.857344424617978) (<class '__main__.FineGrainedBucket'> : 0.9822775769242342) 
27,27,depth-count,1.3102009155370207,0.2524410089087595,108,88.00961538461539,35.04807692307692,2700.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.2496949538890418) (<class '__main__.FineGrainedBucket'> : 2.042152352137256) (<class '__main__.FineGrainedBucket'> : 2.899048817173696) (<class '__main__.FineGrainedBucket'> : 3.0364951327358525) (<class '__main__.FineGrainedBucket'> : 1.9070793424617765) (<class '__main__.FineGrainedBucket'> : 1.3160150817680947) (<class '__main__.FineGrainedBucket'> : 1.3168555585966284) (<class '__main__.FineGrainedBucket'> : 2.036947525336314) (<class '__main__.FineGrainedBucket'> : 2.22311854732138) (<class '__main__.FineGrainedBucket'> : 2.704160552076716) (<class '__main__.FineGrainedBucket'> : 1.4611982068863654) (<class '__main__.FineGrainedBucket'> : 1.6970969270927851) (<class '__main__.FineGrainedBucket'> : 1.1869053444847717) (<class '__main__.FineGrainedBucket'> : 1.5061613299852854) (<class '__main__.FineGrainedBucket'> : 1.7709228106792734) (<class '__main__.FineGrainedBucket'> : 1.7503283715083688) (<class '__main__.FineGrainedBucket'> : 1.1364161682064466) (<class '__main__.FineGrainedBucket'> : 1.29415503111528) (<class '__main__.FineGrainedBucket'> : 1.3321597686193378) (<class '__main__.FineGrainedBucket'> : 2.118935080527215) (<class '__main__.FineGrainedBucket'> : 2.693347704265917) (<class '__main__.FineGrainedBucket'> : 2.1023752823900206) (<class '__main__.FineGrainedBucket'> : 2.4674470545152007) (<class '__main__.FineGrainedBucket'> : 1.9067357621097532) (<class '__main__.FineGrainedBucket'> : 1.047445118353631) (<class '__main__.FineGrainedBucket'> : 0.905166130912096) (<class '__main__.FineGrainedBucket'> : 0.929176939547725) 
1,1,depth-distinct,62.243328329160505,0.009349666996620723,4,3.2596153846153846,1.2980769230769231,100.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
2,2,depth-distinct,15.51254342133138,0.018699333993241446,8,6.519230769230769,2.5961538461538463,200.0,0.0,(<class '__main__.FineGrainedBucket'> : 15.247998823493468) (<class '__main__.FineGrainedBucket'> : 15.585462859607489) 
3,3,depth-distinct,16.128043264069515,0.028049000989862172,12,9.778846153846153,3.894230769230769,300.0,0.0,(<class '__main__.FineGrainedBucket'> : 17.34453884897083) (<class '__main__.FineGrainedBucket'> : 12.035212134690541) (<class '__main__.FineGrainedBucket'> : 17.627929430218835) 
4,4,depth-distinct,9.215341179676553,0.03739866798648289,16,13.038461538461538,5.1923076923076925,400.0,0.0,(<class '__main__.FineGrainedBucket'> : 9.295052737296144) (<class '__main__.FineGrainedBucket'> : 12.822262712184871) (<class '__main__.FineGrainedBucket'> : 12.719176810681947) (<class '__main__.FineGrainedBucket'> : 4.706740372268613) 
5,5,depth-distinct,5.026289419243579,0.04674833498310361,20,16.298076923076923,6.490384615384616,500.0,0.0,(<class '__main__.FineGrainedBucket'> : 6.325040315710503) (<class '__main__.FineGrainedBucket'> : 6.026255730906996) (<class '__main__.FineGrainedBucket'> : 5.39119028063921) (<class '__main__.FineGrainedBucket'> : 8.551480631747598) (<class '__main__.FineGrainedBucket'> : 1.6495134685676416) 
